Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
,Алтайский край,Новочемровский,01 629 466,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Алтайский край,Соловьихинский,01 633 479,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Алтайский край,Аллакский,01 616 404,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Алтайский край,Инской,01 645 423,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
https://www.amurobl.ru/posts/print.php?id=46773,Амурская область ,Неверский,10649414,спортивные сооружения,2000,,,,,,,,,,,,
,Амурская область ,Томский,10647448,спортивные сооружения,,,,,,,,,,,,,
,Амурская область ,Черемховский,10628448,спортивные сооружения,,,,,,,,,,,,,
,Амурская область ,Анновский,10628404,спортивные сооружения,,,,,,,,,,,,,
,Амурская область ,Дмитриевский,10642412,спортивные сооружения,,,,,,,,,,,,,
,Амурская область ,Троицкий,10628441,спортивные сооружения,,,,,,,,,,,,,
,Амурская область ,Козьмодемьяновский,10651412,спортивные сооружения,,,,,,,,,,,,,
,Амурская область ,Садовский,10651452,спортивные сооружения,,,,,,,,,,,,,
,Владимирская область,малыгинское,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,1650,2015-2017 ,,,,,,,,,,,
,Владимирская область,новосельское,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,,2015,,,,,,,,,,,
,Владимирская область,малышевское,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,,2015,,,,,,,,,,,
,Владимирская область,толпуховское,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,,2015,,,,,,,,,,,
,Владимирская область,красносельское,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,,2015,,,,,,,,,,,
,Владимирская область,,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,,2015,,,,,,,,,,,
,Владимирская область,,,НА РЕАЛИЗАЦИЮ ОБЩЕСТВЕННО ЗНАЧИМЫХ НЕКОММЕРЧЕСКИХ ПРОЕКТОВ МЕСТНЫХ ИНИЦИАТИВ ГРАЖДАН,,2015,,,,,,,,,,,
,воронежская область,,20649452,,,,,,,,,,,,,,
,воронежская область,,20604426,,,,,,,,,,,,,,
,воронежская область,,20602464,,,,,,,,,,,,,,
,воронежская область,,20654436,,,,,,,,,,,,,,
,воронежская область,,20643151,,,,,,,,,,,,,,
,воронежская область,,20643420121,,,,,,,,,,,,,,
,воронежская область,,20604412,,,,,,,,,,,,,,
,воронежская область,,20612418,,,,,,,,,,,,,,
,воронежская область,,20604424,,,,,,,,,,,,,,
,воронежская область,,20629151,,,,,,,,,,,,,,
,воронежская область,,20602444,,,,,,,,,,,,,,
,воронежская область,,20619436,,,,,,,,,,,,,,
,воронежская область,,20621408,,,,,,,,,,,,,,
,воронежская область,,20621444,,,,,,,,,,,,,,
,воронежская область,,20649444,,,,,,,,,,,,,,
,воронежская область,,20643424101,,,,,,,,,,,,,,
,воронежская область,,20625484111,,,,,,,,,,,,,,
,воронежская область,,20643412,,,,,,,,,,,,,,
,воронежская область,,20604432101,,,,,,,,,,,,,,
,воронежская область,,20604468,,,,,,,,,,,,,,
,воронежская область,,20604448101,,,,,,,,,,,,,,
,воронежская область,,20643408,,,,,,,,,,,,,,
