,region_name,value,oktmo,in_program
1511,Алтайский край,588.0,1621436,False
1517,Алтайский край,614.0,1621442,False
1523,Алтайский край,685.0,1621446,False
1529,Алтайский край,912.0,1621448,False
1536,Алтайский край,10582.0,1621000,False
1542,Алтайский край,773.0,1622411,False
1548,Алтайский край,431.0,1622433,False
1554,Алтайский край,838.0,1622444,False
1560,Алтайский край,1074.0,1622455,False
1566,Алтайский край,14398.0,1622460,False
1572,Алтайский край,1428.0,1622466,False
1578,Алтайский край,657.0,1622472,False
1584,Алтайский край,2000.0,1622477,False
1590,Алтайский край,717.0,1622488,False
1597,Алтайский край,22316.0,1622000,False
1603,Алтайский край,87.0,1623411,False
1609,Алтайский край,931.0,1623422,False
1615,Алтайский край,529.0,1623433,False
1621,Алтайский край,1361.0,1623438,False
1627,Алтайский край,987.0,1623444,False
1633,Алтайский край,548.0,1623455,False
1639,Алтайский край,3554.0,1623466,False
1645,Алтайский край,523.0,1623468,False
1651,Алтайский край,712.0,1623477,False
1657,Алтайский край,954.0,1623488,False
1664,Алтайский край,10186.0,1623000,False
1670,Алтайский край,1043.0,1624407,False
1676,Алтайский край,5054.0,1624423,False
1682,Алтайский край,580.0,1624434,False
1688,Алтайский край,715.0,1624446,False
1694,Алтайский край,1313.0,1624457,False
1700,Алтайский край,498.0,1624469,False
1706,Алтайский край,1024.0,1624480,False
1712,Алтайский край,681.0,1624491,False
1718,Алтайский край,1536.0,1624493,False
1724,Алтайский край,520.0,1624494,False
1731,Алтайский край,12964.0,1624000,False
1737,Алтайский край,13238.0,1625101,False
1743,Алтайский край,511.0,1625404,False
1749,Алтайский край,761.0,1625409,False
1755,Алтайский край,535.0,1625413,False
1761,Алтайский край,995.0,1625417,False
1767,Алтайский край,176.0,1625419,False
1773,Алтайский край,843.0,1625421,False
1779,Алтайский край,1058.0,1625426,False
1785,Алтайский край,1105.0,1625434,False
1791,Алтайский край,1804.0,1625440,False
1797,Алтайский край,503.0,1625449,False
1803,Алтайский край,453.0,1625456,False
1809,Алтайский край,830.0,1625459,False
1815,Алтайский край,884.0,1625466,False
1821,Алтайский край,873.0,1625473,False
1827,Алтайский край,618.0,1625476,False
1833,Алтайский край,1022.0,1625484,False
1839,Алтайский край,862.0,1625495,False
1846,Алтайский край,27071.0,1625000,False
1852,Алтайский край,1004.0,1626406,False
1858,Алтайский край,896.0,1626412,False
1864,Алтайский край,394.0,1626417,False
1866,Алтайский край,770.0,1626424,False
1872,Алтайский край,1023.0,1626429,False
1878,Алтайский край,1054.0,1626434,False
1884,Алтайский край,1211.0,1626437,False
1890,Алтайский край,1209.0,1626442,False
1896,Алтайский край,10009.0,1626449,False
1902,Алтайский край,1543.0,1626460,False
1908,Алтайский край,1017.0,1626468,False
1914,Алтайский край,724.0,1626473,False
1920,Алтайский край,671.0,1626478,False
1926,Алтайский край,998.0,1626492,False
1933,Алтайский край,22523.0,1626000,False
1939,Алтайский край,3353.0,1627154,False
1945,Алтайский край,388.0,1627405,False
1951,Алтайский край,942.0,1627411,False
1957,Алтайский край,10957.0,1627416,False
1963,Алтайский край,560.0,1627420,False
1969,Алтайский край,1152.0,1627422,False
1975,Алтайский край,837.0,1627433,False
1981,Алтайский край,2223.0,1627444,False
1988,Алтайский край,20412.0,1627000,False
1994,Алтайский край,642.0,1628411,False
2000,Алтайский край,521.0,1628422,False
2006,Алтайский край,1055.0,1628433,False
2012,Алтайский край,4254.0,1628444,False
2018,Алтайский край,621.0,1628455,False
2024,Алтайский край,1635.0,1628466,False
2030,Алтайский край,786.0,1628477,False
2037,Алтайский край,9514.0,1628000,False
2043,Алтайский край,2575.0,1629412,False
2049,Алтайский край,3890.0,1629426,False
2055,Алтайский край,1388.0,1629442,False
2061,Алтайский край,2003.0,1629466,False
2067,Алтайский край,1132.0,1629470,False
2073,Алтайский край,1865.0,1629474,False
2079,Алтайский край,4185.0,1629480,False
2085,Алтайский край,1868.0,1629493,False
2091,Алтайский край,1221.0,1629496,False
2098,Алтайский край,20127.0,1629000,False
2104,Алтайский край,1138.0,1630401,False
2110,Алтайский край,847.0,1630403,False
2116,Алтайский край,634.0,1630412,False
2122,Алтайский край,1925.0,1630432,False
2128,Алтайский край,2704.0,1630437,False
2134,Алтайский край,1018.0,1630449,False
2140,Алтайский край,3398.0,1630455,False
2146,Алтайский край,14715.0,1630460,False
2152,Алтайский край,1615.0,1630462,False
2158,Алтайский край,2635.0,1630464,False
2164,Алтайский край,1175.0,1630466,False
2170,Алтайский край,1645.0,1630473,False
2176,Алтайский край,4898.0,1630482,False
2182,Алтайский край,675.0,1630485,False
2188,Алтайский край,1709.0,1630490,False
2195,Алтайский край,40731.0,1630000,False
2201,Алтайский край,825.0,1631411,False
2207,Алтайский край,541.0,1631417,False
2213,Алтайский край,1228.0,1631422,False
2219,Алтайский край,639.0,1631433,False
2225,Алтайский край,965.0,1631444,False
2231,Алтайский край,5085.0,1631456,False
2237,Алтайский край,1934.0,1631467,False
2243,Алтайский край,547.0,1631478,False
2249,Алтайский край,826.0,1631489,False
2256,Алтайский край,12590.0,1631000,False
2262,Алтайский край,1004.0,1632406,False
2268,Алтайский край,1810.0,1632412,False
2274,Алтайский край,6846.0,1632416,False
2280,Алтайский край,4802.0,1632420,False
2286,Алтайский край,8565.0,1632422,False
2292,Алтайский край,1185.0,1632425,False
2298,Алтайский край,1006.0,1632430,False
2304,Алтайский край,4978.0,1632434,False
2310,Алтайский край,1625.0,1632442,False
2316,Алтайский край,473.0,1632445,False
2322,Алтайский край,5527.0,1632449,False
2328,Алтайский край,3425.0,1632454,False
2334,Алтайский край,746.0,1632461,False
2340,Алтайский край,3762.0,1632472,False
2346,Алтайский край,1836.0,1632483,False
2352,Алтайский край,2840.0,1632494,False
2358,Алтайский край,506.0,1632496,False
2364,Алтайский край,1184.0,1632497,False
2371,Алтайский край,52120.0,1632000,False
