регион,название ,2014   ,2013   ,октмо
Вологодская область,пятовское,5197,5229,
Вологодская область,богородское,737,733,
Вологодская область,высоковское,1138,1198,
Вологодская область,задне,576,554,
Вологодская область,никольское,515,513,
Вологодская область,троицкое,956,954,
Вологодская область,устьянское,4073,4035,
Вологодская область,пок имени желябова,1092,1073,
Вологодская область,залесское,1085,1057,
Вологодская область,лентьевское,915,939,
Вологодская область,мезженское,619,593,
Вологодская область,моденское,374,371,
Вологодская область,никифоровское,974,949,
Вологодская область,никольское,944,922,
Вологодская область,сошневское,877,861,
Вологодская область,устюженское,2050,2035,
Вологодская область,азлецкое,306,286,
Вологодская область,ильинское,326,321,11611412
Вологодская область,кубинское,667,661,
Вологодская область,кумзерское,297,301,
Вологодская область,михайловское,289,279,
Вологодская область,разинское,808,779,
Вологодская область,семигороднее,1441,1412,
Вологодская область,слободское,340,321,
Вологодская область,харовское,990,998,
Вологодская область,шапшинское,462,464,
Вологодская область,белокрестское,667,688,
Вологодская область,борисовское,426,401,
Вологодская область,избоищское,330,325,
Вологодская область,лукинское,384,373,
Вологодская область,мегринское,328,333,
Вологодская область,первомайское,1027,1001,19620000
Вологодская область,покровское,424,416,
Вологодская область,абакановское,2808,2764,
Вологодская область,воскресенское,2402,2346,
Вологодская область,малечкинское,2187,2142,
Вологодская область,ирдоматское,1834,1851,
Вологодская область,климовское,2551,2532,
Вологодская область,коротовское,2035,2044,
Вологодская область,мяксинское,1597,2329,
Вологодская область,нелазское,2109,2114,
Вологодская область,николо-раменское,613,578,
Вологодская область,судское,6732,6679,
Вологодская область,тоншаловское,5891,5804,
Вологодская область,югское,3992,3929,
Вологодская область,ягановское,1047,1045,
Вологодская область,ягницкое,995,968,
Вологодская область,яргомжское,2977,3008,
Вологодская область,домшинское,639,629,41633440
Вологодская область,ершовское,483,487,
Вологодская область,железнодорожное,763,716,
Вологодская область,камешниковское,216,207,
Вологодская область,любомировское,446,423,
Вологодская область,никольское,977,982,
Вологодская область,нифантовское,2428,2421,
Вологодская область,раменское,265,258,
Вологодская область,сиземское,1612,1589,
Вологодская область,угольское,402,395,
Вологодская область,фоминское,352,348,
Вологодская область,чуровское,1912,1913,
Вологодская область,юроченское,194,197,
Воронежская область,артюшкинское,577,558,
Воронежская область,архангельское,2173,2358,
Воронежская область,берёзовское,911,875,
Воронежская область,бродовское,1256,1229,
Воронежская область,васильевское,1398,1371,
Воронежская область,верхнетойденское,1070,1038,
Воронежская область,дерябкинское,539,528,
Воронежская область,краснологское,236,202,
Воронежская область,мосоловское,794,777,
Воронежская область,нащёкинское,923,896,
Воронежская область,николаевское,1537,1485,
Воронежская область,никольское,967,1266,
Воронежская область,новожизненское,1028,981,
Воронежская область,новокурлакское,1280,1268,
Воронежская область,островское,1562,952,
Воронежская область,пугачёвское,824,816,
Воронежская область,рамоньское,851,794,
Воронежская область,рубашевское,1301,1260,
Воронежская область,садовское,4245,4243,
Воронежская область,старотойденское,648,619,19620000
Воронежская область,старочигольское,783,766,19620000
Воронежская область,хлебородненское,836,806,
Воронежская область,анновское,639,636,
Воронежская область,верхнеикорецкое,1428,1379,
Воронежская область,коршевское,1917,1835,
Воронежская область,липовское,737,682,
Воронежская область,мечётское,994,950,
Воронежская область,никольское,969,972,
Воронежская область,октябрьское,471,453,
Воронежская область,пчелиновское,1554,1487,
Воронежская область,семёно-александровское,1766,1746,
Воронежская область,слободское,4246,4328,
Воронежская область,сухо-берёзовское,1119,1066,
Воронежская область,тройнянское,312,314,
Воронежская область,хреновское,4789,4734,
Воронежская область,чесменское,1082,1070,
Воронежская область,шестаковское,1852,1826,
Воронежская область,шишовское,1126,1136,
Воронежская область,юдановское,1235,1181,
Воронежская область,ясенковское,2069,2059,
Воронежская область,дьяченковское,3959,3943,
Воронежская область,залиманское,3289,3274,
Воронежская область,липчанское,1685,1669,
Воронежская область,луговское,1900,1929,
Воронежская область,медовское,1127,1109,
Воронежская область,монастырщинское,1111,1112,
Воронежская область,первомайское,1280,1251,19620000
Воронежская область,подколодновское,2410,2393,
Воронежская область,поповское,2671,2682,
Воронежская область,радченское,2506,2458,
Воронежская область,суходонецкое,954,944,
Воронежская область,твердохлебовское,1079,1058,
Воронежская область,филоновское,953,952,
